username,display_name,description,location,followers_count,following_count,statuses_count,created_at,target_population,locals_vs_diaspora,person_vs_organization,iteration_added
a_s_v_t_r,حــزامـ,اللَّهُمَّ لَا تَدَع لي أمْراً إِلَّا يَسَّرَتْهُ وَلَا حُلْماً إِلَّا حَقَّقَتَهُ,ID52159146623,389.0,943.0,,May 2024,2,2,2,1
ali_tavakoli_28,hopkinz,سر سری رد شو و زندگی کن.دقت دق ات میدهد.,shiraz_iran,90.0,128.0,1448.0,December 2012,1,1,1,1
adryn848,آدرین,,,14.0,539.0,0.0,May 2024,2,2,2,1
alexmarlow,Alex Marlow,"**BREAKING THE LAW** OUT NOW! 'The Alex Marlow Show,'  @BreitbartNews  EIC, 3x-NYT bestseller. “Alex knows it all.” -President Trump","Chappaquiddick, MA",,271.0,7396.0,January 2009,0,2,1,1
aaihs,AAIHS,AAIHS was founded to foster dialogue about #Black thought & culture. We publish the blog  @BlkPerspectives  (President:  @robgreeneII ):  bit.ly/2iEQ4uU,,,108.0,6145.0,May 2014,0,2,1,1
abogadasmx,Abogadas MX,Red de Liderazgo y Desarrollo Profesional para abogadas en México.,Mexico,4618.0,839.0,3107.0,March 2015,0,2,0,1
alirezasafarpo7,Alireza Safarpoor,AlirezaSFP,,7.0,122.0,77.0,August 2021,1,0,1,1
agolp,Armand Golpaygani,,"Paris, France",197.0,471.0,162.0,November 2009,0,2,1,1
aji_fellowships,Allbritton Journalism Institute,,,1029.0,20.0,26.0,February 2023,0,2,0,1
alltyf_,طيف سامي,,,,11.0,234.0,October 2022,0,2,1,1
alimeelad94,Mohammed Ali,,The Netherlands,89.0,305.0,1916.0,October 2017,0,2,1,1
allanmau1992,Allan Mau,,,27.0,560.0,14.0,May 2024,0,2,1,1
4noura,Noura Erakat,"Human Rights attorney | Professor| Author, Justice For Some | Justicia, Paz, Amor",,,2719.0,5587.0,November 2009,0,2,1,1
abdynal18132,Zain Al-Ameri,,,17.0,552.0,10.0,September 2025,0,2,1,1
ahwaz1925__,عربستان,ليس وطني دائما على حق ولكني لا استطيع ان امارس حقاً حقيقياً الا في وطني,,26.0,130.0,210.0,September 2024,1,2,1,1
abu_aqeel86,عبدالله الخالدي,,,0.0,16.0,4.0,September 2025,2,2,2,1
