username,profile_url,display_name,description,location,followers_count,following_count,statuses_count,created_at,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score,target_population,locals_vs_diaspora,person_vs_organization,comments
ahmadi_ahmadii,https://x.com/ahmadi_ahmadii,bəmalu,,,21.0,155.0,173.0,March 2022,1,0.3341,0.3328,0.3341,0.3331,0.6659,1,2,1,persian protest amplifier
0qcgdh3bdamfozf,https://x.com/0qcgdh3bdamfozf,هيثم عبده نعمان الحجري,,,80.0,218.0,3761.0,September 2021,1,0.3341,0.3328,0.3341,0.3331,0.6659,0,,1,yemeni houthi account
_soommiii_,https://x.com/_soommiii_,soosoo~,,,27.0,85.0,79.0,November 2021,1,0.3341,0.3328,0.3341,0.3331,0.6659,1,2,1,persian personal account
akbarghasemi62,https://x.com/akbarghasemi62,Akbar Ghasemi,,,28.0,122.0,537.0,June 2022,1,0.3341,0.3328,0.3341,0.3331,0.6659,1,2,1,pro-iran propaganda account
ahimsaaaa,https://x.com/ahimsaaaa,Ahimsa آهیمسا,,,12.0,61.0,128.0,September 2022,1,0.3341,0.3328,0.3341,0.3331,0.6659,2,,2,private account
acetaminophen69,https://x.com/acetaminophen69,Acetaminophen,,,2.0,54.0,108.0,June 2025,2,0.335,0.3316,0.3334,0.335,0.665,1,2,1,iranian monarchist account
aecp_faecp,https://x.com/aecp_faecp,AECP,,,3686.0,287.0,5127.0,February 2016,1,0.3358,0.335,0.3358,0.3292,0.6642,0,,0,spanish medical organization
aboutparhammhb,https://x.com/aboutparhammhb,P4rhumm,,G town,1543.0,498.0,5356.0,December 2021,0,0.336,0.336,0.3354,0.3286,0.664,1,2,1,persian personal account
agha_xavier2,https://x.com/agha_xavier2,خاویر پرز دکوئیار R.I.P,همواره مشروطه‌خواه. وفادار به: شاه، میهن، آزادی,روی در دیوار هجران,5940.0,665.0,1303.0,June 2018,1,0.3366,0.3342,0.3366,0.3292,0.6634,1,2,1,iranian monarchist account
alparsai,https://x.com/alparsai,Ali Parsai,"Soyez réalistes, demandez l'impossible.",Planet Earth,377.0,958.0,5809.0,November 2016,0,0.337,0.337,0.3266,0.3364,0.663,0,,1,apolitical classical music
_ali_najjar_,https://x.com/_ali_najjar_,علی نجار,او از پیروان م ح م د بن حسن بود,کهکشان راه شیری ، دست چپ,770.0,890.0,4161.0,December 2018,0,0.337,0.337,0.3266,0.3364,0.663,1,2,1,iranian religious account
affgnl,https://x.com/affgnl,AFFG,Great players need a Great Management,"Gelderland, Nederland",150.0,101.0,699.0,January 2017,0,0.3371,0.3371,0.3293,0.3337,0.6629,0,,0,dutch football agency
alecknowsads,https://x.com/alecknowsads,Alec Lopez,Head of Production  @markhamyard,"St Petersburg, FL",81.0,271.0,941.0,September 2015,0,0.3371,0.3371,0.3293,0.3337,0.6629,0,,1,american media professional
_angry_n___,https://x.com/_angry_n___,i N !,تا اطلاع ثانوی فقط #زن_زندگی_آزادی,!,149.0,160.0,4797.0,October 2015,0,0.3371,0.3371,0.3293,0.3337,0.6629,1,0,1,iranian in europe
9rcl7at9wzomubs,https://x.com/9rcl7at9wzomubs,Мақсат Асылбеков,,,12.0,65.0,6.0,April 2021,2,0.3373,0.3328,0.3299,0.3373,0.6627,0,,1,kazakh account
4m2dvxbg7uptwhz,https://x.com/4m2dvxbg7uptwhz,.,,,104.0,383.0,8.0,September 2021,2,0.3373,0.3328,0.3299,0.3373,0.6627,0,,1,arabic entertainment account
ahadisherko,https://x.com/ahadisherko,SH.1990,,,47.0,241.0,34.0,September 2021,2,0.3373,0.3328,0.3299,0.3373,0.6627,2,,2,kurdish name undetermined
80403b7197f4437,https://x.com/80403b7197f4437,@Kaveh_Mesgarian,,,65.0,290.0,526.0,December 2014,0,0.3378,0.3378,0.3285,0.3337,0.6622,1,2,1,iranian no content
alijannatpour,https://x.com/alijannatpour,Ali Jannatpour,,,35.0,249.0,1280.0,December 2014,0,0.3378,0.3378,0.3285,0.3337,0.6622,1,2,1,pro-pahlavi opposition account
alireza_didani,https://x.com/alireza_didani,Alireza,,,134.0,58.0,1154.0,May 2017,0,0.3378,0.3378,0.3285,0.3337,0.6622,1,2,1,iranian geopolitics commentator
akbarabasi13481,https://x.com/akbarabasi13481,Akbar.A,,,51.0,91.0,1922.0,November 2016,0,0.3378,0.3378,0.3285,0.3337,0.6622,1,1,1,iranian pensioner advocate
ahsana30012,https://x.com/ahsana30012,أبو محمد🇵🇸,امت گرا Internationalism#اللهم_عجل_لولیک_الفرج,,148.0,4060.0,757.0,February 2025,0,0.3378,0.3378,0.3245,0.3377,0.6622,2,,2,private account
alamyn39470,https://x.com/alamyn39470,محمد الامين الضبيبي,,,73.0,919.0,101.0,September 2025,0,0.3379,0.3379,0.3243,0.3377,0.6621,0,,1,arabic quiz spam
aboarab90547242,https://x.com/aboarab90547242,حبیبی محمد,,,61.0,777.0,175.0,November 2022,0,0.3379,0.3379,0.3243,0.3377,0.6621,1,2,1,sparse persian account
__rumi22_,https://x.com/__rumi22_,rumi,,,13.0,491.0,134.0,November 2023,0,0.338,0.338,0.327,0.335,0.662,2,,2,private account
a_01_2024,https://x.com/a_01_2024,Ali,,,48.0,454.0,159.0,February 2025,0,0.338,0.338,0.327,0.335,0.662,1,2,1,pro-khamenei regime account
ahoramazda39384,https://x.com/ahoramazda39384,Ahora Mazda,,,28.0,308.0,526.0,March 2024,0,0.338,0.338,0.327,0.335,0.662,1,2,1,iranian nationalist account
_ghazaltaleb,https://x.com/_ghazaltaleb,Ghazal,,,13.0,47.0,3115.0,February 2020,2,0.3388,0.3328,0.3285,0.3388,0.6612,1,2,1,iranian monarchist account
ali_94355,https://x.com/ali_94355,a‌,,,0.0,49.0,12.0,March 2024,2,0.3392,0.3315,0.3292,0.3392,0.6608,0,,1,crypto airdrop account
alireza_kh29320,https://x.com/alireza_kh29320,Alireza,,,29.0,509.0,15.0,August 2025,2,0.3392,0.3379,0.3229,0.3392,0.6608,1,2,1,iranian no content
akbarkhan025,https://x.com/akbarkhan025,Akbar kakar,pashtoonkhwa S O,جنوبی پښتونخوا کوټه,3.0,141.0,12.0,November 2025,2,0.3392,0.3375,0.3233,0.3392,0.6608,0,,1,pashtun afghan account
alirostami89168,https://x.com/alirostami89168,Ali Rostami,,,7.0,73.0,14.0,December 2025,2,0.3392,0.3315,0.3292,0.3392,0.6608,1,2,1,iranian nationalist account
