username,profile_url,display_name,description,location,followers_count,following_count,statuses_count,created_at,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score,target_population,locals_vs_diaspora,person_vs_organization,comments
alexp_ecb,https://x.com/alexp_ecb,Alex pr 🇳🇱,sou sofredor de  @ecbahia  e  @chelseaFC #forarezende,"Salvador, Brasil",184.0,1196.0,2822.0,January 2020,1,0.3348,0.3332,0.3348,0.332,0.6652,,,,
alpsina89,https://x.com/alpsina89,Sina alp,,,87.0,651.0,40.0,April 2024,0,0.3354,0.3354,0.3345,0.3301,0.6646,,,,
ak1980777,https://x.com/ak1980777,五郎人格,,,0.0,46.0,58.0,March 2024,2,0.3371,0.3339,0.329,0.3371,0.6629,,,,
7usiy,https://x.com/7usiy,7,,,347.0,25.0,66.0,December 2022,2,0.3373,0.3284,0.3343,0.3373,0.6627,,,,
alphard1black,https://x.com/alphard1black,Alphard (Taylor's Version),I salute you if you’re much too much to handle.,The Tortured Poets Department,4211.0,920.0,0.0,June 2020,0,0.3378,0.3378,0.3332,0.329,0.6622,,,,
alistai73159680,https://x.com/alistai73159680,Alistair Mckenzie,,,12.0,116.0,198.0,April 2022,0,0.3391,0.3391,0.3332,0.3277,0.6609,,,,
___tw1tt3r___,https://x.com/___tw1tt3r___,tw1tt3r,,,18.0,558.0,494.0,April 2022,0,0.3391,0.3391,0.3332,0.3277,0.6609,,,,
_hqaddomi,https://x.com/_hqaddomi,Hisham Qaddoumi,,,33.0,359.0,247.0,August 2022,0,0.3391,0.3391,0.3332,0.3277,0.6609,,,,
4freedom4iran,https://x.com/4freedom4iran,Freedom,,,18.0,214.0,682.0,September 2022,0,0.3391,0.3391,0.3332,0.3277,0.6609,,,,
__dokhtarak,https://x.com/__dokhtarak,Emily,,,13.0,184.0,75.0,August 2021,0,0.3391,0.3391,0.3332,0.3277,0.6609,,,,
al_firas999,https://x.com/al_firas999,Firas Al Mashhadani,,"Sulaymaniyah, Iraq",26.0,162.0,43.0,September 2025,0,0.3403,0.3403,0.3296,0.3301,0.6597,,,,
7_ndala,https://x.com/7_ndala,معتز بالله الجنوبي,,,15.0,92.0,17.0,November 2025,0,0.3407,0.3407,0.3292,0.3301,0.6593,,,,
aliabc1500,https://x.com/aliabc1500,Ali,,,58.0,203.0,8.0,September 2025,0,0.3407,0.3407,0.3292,0.3301,0.6593,,,,
alikarimdoost91,https://x.com/alikarimdoost91,علی کریمدوست پهمدانی,پیج اصلی علی کریمدوست پهمدانی,"Irani, Brasil",554.0,7490.0,4649.0,September 2025,1,0.3416,0.3225,0.3416,0.3359,0.6584,,,,
_irani_mohammad,https://x.com/_irani_mohammad,MhmmdShajarian,,,8.0,1774.0,58.0,December 2020,0,0.3417,0.3417,0.317,0.3412,0.6583,,,,
ali_geraei,https://x.com/ali_geraei,Mohammad Ali Geraei,"Greco-Roman Wrestler. 77 KG. Fighter Challenger. 2017 World Bronze Medalist. ""To Have Face is to Have Wings"" #Falcon on his way to 2020 Olympics","Iran, Shiraz",221.0,18.0,28.0,March 2018,1,0.3442,0.3373,0.3442,0.3184,0.6558,,,,
addh66,https://x.com/addh66,Azita Irani,,,14.0,122.0,0.0,July 2013,0,0.3443,0.3443,0.3252,0.3304,0.6557,,,,
afshinzare1,https://x.com/afshinzare1,Afshin Zare,Actor & Composer,Islamic Republic of Iran,3.0,97.0,13.0,July 2012,0,0.3447,0.3447,0.344,0.3112,0.6553,,,,
aliramez2,https://x.com/aliramez2,Aliramez,,,7.0,57.0,105.0,July 2014,1,0.3449,0.3419,0.3449,0.3133,0.6551,,,,
